ssid,quality,signal,mac,square,data-type
AP-00,60/70,-50,98:DE:D0:8F:0A:38,s-01,Gathering
AP-05,54/70,-56,D8:07:B6:6E:4B:E8,s-01,Gathering
AP-02,70/70,-26,D8:07:B6:6E:4F:80,s-01,Gathering
AP-06,54/70,-56,D8:07:B6:6E:4F:8C,s-01,Gathering
AP-03,70/70,-36,D8:07:B6:6E:4E:0A,s-01,Gathering
AP-04,70/70,-38,D8:07:B6:6E:4D:A6,s-01,Gathering
AP-01,70/70,-22,D8:07:B6:6E:4E:F4,s-01,Gathering
ssid,quality,signal,mac,square,data-type
AP-00,60/70,-50,98:DE:D0:8F:0A:38,s-02,Gathering
AP-05,56/70,-54,D8:07:B6:6E:4B:E8,s-02,Gathering
AP-02,70/70,-26,D8:07:B6:6E:4F:80,s-02,Gathering
AP-06,54/70,-56,D8:07:B6:6E:4F:8C,s-02,Gathering
AP-03,70/70,-36,D8:07:B6:6E:4E:0A,s-02,Gathering
AP-04,70/70,-38,D8:07:B6:6E:4D:A6,s-02,Gathering
AP-01,70/70,-24,D8:07:B6:6E:4E:F4,s-02,Gathering
